Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
SLHN,SWISS LIFE HOLDING AG N,Finance,20.007,697.0,53668,37.5,4.7,15.414,-26.9,,1.439,,35.006
SOON,SONOVA N,Health technology,17.326,306.6,175447,10.05,1.43,3.627,7.82,2.564,0.6942,0.9404,18.627
SPSN,SWISS PRIME SITE N,Finance,7.387,95.35,136891,2.25,3.56,0.668321,-11.41,0.512812,0.402673,0.40874,13.293
SQN,SWISSQUOTE N,Finance,4.498,303.6,18216,17.06,1.4200000000000002,0.649583,38.53,0.541473,0.303,0.343344,-0.391384
SRAIL,STADLER RAIL N,Producer manufacturing,2.63,25.85,130550,1.23,3.42,3.613,-2.06,0.402082,0.170662,0.291111,2.762
SREN,SWISS RE N,Finance,33.335,114.4,665906,11.18,5.390000000000001,44.442,2.85,,4.792,,42.535
STMN,STRAUMANN N,Health technology,21.963,138.3,426331,1.7,0.62,2.468,11.44,1.772,0.440866,0.578554,22.086
SUN,SULZER N,Producer manufacturing,4.636,139.4,24444,7.03,2.73,3.379,14.6,1.141,0.3569,0.4645,4.869
SWON,SOFTWAREONE N,Distribution services,2.297,14.96,97510,0.1,2.42,1.034,-87.37,0.268457,0.173757,0.243538,2.544
TECN,TECAN GROUP AG N,Health technology,3.539,277.0,16913,7.89,1.09,1.0,-7.11,0.346708,0.090808,0.162439,3.511
TEMN,TEMENOS N,Technology services,4.166,58.3,130776,1.64,2.07,0.89918,0.11,0.5305320000000001,0.201526,0.317356,4.679
TXGN,TX GROUP N,Consumer services,1.5,138.8,1120,3.34,1.41,0.9819,3.84,0.2731,0.0513,0.1984,1.743
UBSG,UBS GROUP N,Finance,83.176,26.31,8058000,0.16,2.46,77.49,76.47,,2.34,,209.718
UHR,SWATCH GROUP I,Consumer durables,9.197,181.95,178979,9.99,3.65,7.314,-2.91,3.202,0.709,1.109,7.822
VACN,VAT GROUP N,Producer manufacturing,12.734,427.9,33697,6.67,1.47,0.881171,-14.76,0.295559,0.230692,0.273839,12.965
VAHN,VAUDOISE ASSU N,Finance,1.342,464.0,1196,49.61,4.79,1.506,8.290000000000001,,0.082876,,1.513
VATN,VALIANT N,Finance,1.548,97.5,14369,9.39,5.609999999999999,0.849983,32.87,,0.178493,,8.403
VONN,VONTOBEL N,Finance,3.081,54.5,24559,3.81,5.46,1.762,-4.02,,0.292,,15.694
VZN,VZ HOLDING N,Finance,5.257,132.8,20118,5.13,1.67,0.562676,35.6,0.497471,0.236883,0.260803,4.092
WKBN,WALLISER KB N,Finance,1.777,113.0,580,5.79,3.4099999999999997,0.435876,64.19,,0.109671,,5.142
YPSN,YPSOMED HLDG,Health technology,5.636,416.5,10113,5.74,0.48,0.548457,17.990000000000002,0.189054,0.081063,0.155929,5.818
ZUGER,ZUGER KB N,Finance,2.411,8400.0,19,424.52,2.63,0.470132,84.16,,0.13665,,4.106
ZURN,ZURICH INSURANCE N,Finance,73.495,508.0,229953,29.83,5.11,65.416,49.15,,18.269,,87.813
