Country Name,child_mortality,exports,health,imports,income,inflation,life_expectancy,fertility_rate,gdp_pc,corruption,acc_clean_cooking
El Salvador,11.3,29.9559096080003,8.80846119,46.0861034911466,3535.0636037592,0.848014701105342,72.559,1.838,4280.28840404719,0.537628948688507,90.9
Equatorial Guinea,60.1,51.1307495482003,3.16833544,43.7480428771542,2534.31049813687,-3.16368983363937,61.644,4.429,7317.39002617962,1.56337535381317,23.1
Estonia,1.8,73.3595544405733,6.81699181,69.2961140343399,19062.7694888207,3.60594797650113,78.6463414634147,1.66,23581.656836882,-1.52543818950653,100.0
Eswatini,43.0,45.6478964535104,7.15369368,42.9643037734492,2688.34184399613,2.38778505304151,60.549,2.921,3843.38004601919,0.328445315361023,48.1
Ethiopia,37.3,7.9399766087609,3.23382378,20.8753243982814,718.782828723381,12.8603968185939,65.838,4.323,840.449601255171,0.435477554798126,6.6
Fiji,21.6,48.4609021522354,4.25136137,58.9505619900298,4711.73614964252,1.54654908439484,67.893,2.519,5927.72418996345,-0.688096284866333,49.3
Finland,1.9,39.8806794019795,9.17,39.7247538126725,39659.4052411715,1.49655419230197,81.9829268292683,1.35,48629.8582283032,-2.11400508880615,100.0
France,3.3,31.5920554143668,11.0888586,32.549417775836,33895.5287713639,1.27859214632949,82.8268292682927,1.86,40494.8982936276,-1.24832808971405,100.0
Gabon,31.2,51.4310732271996,2.76836324,21.9970162214648,4527.3561226921,1.54748519798422,66.603,3.615,7523.8622784598,0.888111412525177,89.3
"Gambia, The",35.4,18.8413979684695,3.158566,34.428254596713,568.385659977341,6.25220639943007,63.755,4.869,722.875356284026,0.40828874707222,1.8
Georgia,8.6,54.3043084100873,6.66,63.5057718296264,3802.12660500943,3.99568034557234,73.47,2.011,4741.2832715876,-0.716376483440399,87.8
Germany,3.2,47.1275808768289,11.71550655,41.1908085811906,39718.0023342505,2.13030905148273,81.2926829268293,1.54,46805.1384334439,-1.86536622047424,100.0
Ghana,34.4,37.4495998625311,4.29847813,39.3752028696209,1728.3921910505,8.48107029698721,64.74,3.683,2167.92527597794,0.108893923461437,26.9
Greece,3.5,40.1107639268746,8.19811249,41.7751593316684,16155.1136681952,0.226845195063973,81.6390243902439,1.34,19143.8876174584,-0.0140720242634416,100.0
Guatemala,20.8,17.6119761529528,6.17457819,27.9047665962287,4006.90710748626,3.56578287211866,73.129,2.61,4647.80754129437,0.915391564369202,43.2
Guinea,66.6,35.042049336042,4.08876228,43.3732638931509,844.550523185765,9.40290765798821,59.72,4.576,1043.89988618266,0.91590142250061,0.9
Guinea-Bissau,53.1,27.0026855948093,7.16052532,29.9612029719511,639.79119602037,-3.45217236825675,60.882,4.172,754.381639420495,1.49794888496399,1.1
Haiti,47.8,10.5576734334849,3.91107917,34.0110453423444,1253.90146374765,19.8003879006213,64.255,2.919,1345.4750547884,1.3468052148819,4.2
Honduras,15.2,40.2189637388964,7.30497599,59.2410142548624,2198.91045137401,3.35874088466439,72.881,2.427,2498.50918635232,0.875686287879944,48.1
Hungary,3.4,81.5297406120423,6.28,79.2216026672883,13651.9604813628,4.78502518079389,76.3195121951219,1.55,16786.2136399075,-0.0311542917042971,100.0
Iceland,2.1,43.7132484395931,8.58,39.1494973417951,57484.4960902655,4.4567758015221,83.1634146341463,1.74,68452.23622306,-1.67087435722351,100.0
India,29.7,18.6642648972528,2.95,21.2411386333823,1792.58644233523,2.40551716110539,70.91,2.109,2050.16380022056,0.302205294370651,62.2
Indonesia,20.0,18.5915277973681,2.87862897,19.0362497389257,3114.02289369325,1.59848849984144,70.518,2.215,4151.22755440796,0.473180323839188,82.1
"Iran, Islamic Rep.",11.5,23.4838672675323,6.27398872,27.2704670825754,2463.28804658243,30.5348662272656,76.103,1.77,3276.75326508226,1.07132577896118,96.5
Iraq,21.8,38.0518681988838,4.25509405,30.9380702213968,4277.00654421206,-2.67444003466784,71.576,3.604,5621.18169491752,1.38980269432068,99.3
Ireland,2.9,128.004242909111,6.7090106,124.491029070462,42297.1479151765,3.35541152264082,82.7024390243903,1.71,80848.3019020489,-1.45883345603943,100.0
Israel,2.9,29.0493529523896,7.17,27.2201815275662,37723.8494525074,1.83647019726104,82.8048780487805,3.01,44452.2325623093,-0.774113774299622,100.0
Italy,2.6,31.6024197276206,8.66,28.2765604958343,28011.1654797522,0.938114135013862,83.4975609756098,1.27,33673.7509627421,-0.234261184930801,100.0
Jamaica,16.1,38.0360807474106,6.09761,52.0745268861888,5040.67177421281,3.18250309465809,71.767,1.37,5626.1704590766,0.113833971321583,79.1
Japan,1.8,17.4635264275221,10.97,17.7528916808924,32283.7707170925,0.63480316569607,84.3563414634146,1.36,40415.9567649547,-1.43116724491119,100.0
Jordan,13.4,36.6712029623066,6.99518251,49.150235781878,3973.99153948088,0.843928095681321,76.044,2.918,4159.6537537759,-0.0804249122738838,99.9
Kazakhstan,9.1,36.4389870990994,2.79,28.419629452657,6710.96281266878,7.63328623733945,73.18,2.9,9812.59552626324,0.285695314407349,93.4
Kenya,32.2,11.4279966637126,4.36874676,20.3314700616651,1684.56606069321,4.2752342393575,62.943,3.469,1970.08007048615,0.807418882846832,20.7
Kiribati,46.1,14.9861483974359,12.59,81.6459560897436,2893.4908058346,-3.51437699680513,67.15,3.368,1745.7324153971,-0.367132216691971,10.45
"Korea, Rep.",2.7,39.2758610673609,8.17479515,36.4812778978581,25831.4551500679,-0.839325308149668,83.2268292682927,0.918,31902.4169048194,-0.705077528953552,100.0
Kuwait,7.5,52.3310917890614,5.35958719,44.0789234568774,29088.0685257488,-0.467660799570339,79.685,2.159,31230.1729499142,0.159434482455254,100.0
Kyrgyz Republic,16.3,33.4764696600324,4.49,60.9538126942615,994.995498786017,9.81131194747459,71.6,3.3,1451.51563835807,0.959891974925995,77.3
Latvia,3.4,60.0210271401091,6.61,60.7221095278955,13837.831744773,4.25589850087644,75.3878048780488,1.61,17883.3494113217,-0.480807155370712,100.0
Lesotho,60.7,46.2093281781161,11.94662285,94.3073053135637,1047.22471392624,3.57545446932066,54.173,3.094,1074.1340466189,0.12368880212307,39.8
Lithuania,3.0,77.2441152993638,6.99,71.9320960572036,16457.0957345645,2.77156306285475,76.2829268292683,1.61,19615.5491450175,-0.666612505912781,100.0
Luxembourg,2.3,206.411649793168,5.47,175.936719409835,62146.077047776,0.900736076793322,82.6390243902439,1.34,112726.439672814,-2.07251167297363,100.0
Madagascar,45.3,28.4244012431975,3.10129309,34.1769218025153,436.525981614341,6.52209064077279,65.882,3.978,512.27966560241,1.05220568180084,1.3
Malaysia,6.9,65.2777668428576,3.83991051,57.7507951850853,7991.16577306976,0.0718269093121364,75.76,1.834,11132.1027429418,-0.233307585120201,88.2
Mali,64.2,25.7052911327686,3.82943797,37.9534116332831,711.910861057447,1.93054206895806,59.664,6.103,840.175746366299,0.705255508422852,1.1
Mauritania,33.9,42.3975240406607,3.30148649,51.089170094471,1664.95369383893,5.32804485029229,65.687,4.521,1800.87518658218,0.865797400474548,46.5
Mauritius,14.0,44.6671405250455,6.02485895,51.824810391558,10263.5380992465,-0.46584287384826,74.2358536585366,1.4,11403.2527870674,-0.209806874394417,98.9
Mexico,12.2,38.4970333000564,5.44796371,38.8993639815331,7909.23316728281,4.25944006146996,74.202,1.916,10434.5676193955,0.917184710502625,85.2
"Micronesia, Fed. Sts.",22.5,26.7941370558376,11.2604599,69.0552538071066,3880.73200864299,-3.4313725490196,71.077,2.801,3537.47115704038,-0.709070801734924,13.1
Moldova,12.7,31.1910849579769,6.5,56.4411521569138,4190.86522108805,5.35171200346649,70.935,1.78,4405.33418162155,0.644489228725433,97.3
Mongolia,13.4,59.2172331806539,4.49497843,65.1792814405109,3149.00384897996,9.97221325666415,71.822,2.937,4394.94715044543,0.455313384532928,50.4
Montenegro,2.7,43.8466387797969,8.33,64.9979386824171,7878.67956660806,2.02214868727721,76.6829268292683,1.77,8909.6538759126,0.0298482794314623,61.85
